고을: ㄱㅗㅇㅡㄹ
고음: ㄱㅗㅇㅡㅁ
고의: ㄱㅗㅇㅡㅣ
고인: ㄱㅗㅇㅣㄴ
고작: ㄱㅗㅈㅏㄱ
고장: ㄱㅗㅈㅏㅇ
고적: ㄱㅗㅈㅓㄱ
고전: ㄱㅗㅈㅓㄴ
고정: ㄱㅗㅈㅓㅇ
고종: ㄱㅗㅈㅗㅇ
고증: ㄱㅗㅈㅡㅇ
고질: ㄱㅗㅈㅣㄹ
고집: ㄱㅗㅈㅣㅂ
고착: ㄱㅗㅊㅏㄱ
고찰: ㄱㅗㅊㅏㄹ
고참: ㄱㅗㅊㅏㅁ
고철: ㄱㅗㅊㅓㄹ
고체: ㄱㅗㅊㅓㅣ
고충: ㄱㅗㅊㅜㅇ
고취: ㄱㅗㅊㅜㅣ
고층: ㄱㅗㅊㅡㅇ
고통: ㄱㅗㅌㅗㅇ
고풍: ㄱㅗㅍㅜㅇ
고학: ㄱㅗㅎㅏㄱ
고함: ㄱㅗㅎㅏㅁ
고해: ㄱㅗㅎㅏㅣ
고향: ㄱㅗㅎㅑㅇ
고혈: ㄱㅗㅎㅕㄹ
고형: ㄱㅗㅎㅕㅇ
고희: ㄱㅗㅎㅡㅣ
곡기: ㄱㅗㄱㄱㅣ
곡류: ㄱㅗㄱㄹㅠ
곡우: ㄱㅗㄱㅇㅜ
곡조: ㄱㅗㄱㅈㅗ
곡주: ㄱㅗㄱㅈㅜ
곤지: ㄱㅗㄴㅈㅣ
골무: ㄱㅗㄹㅁㅜ
골수: ㄱㅗㄹㅅㅜ
골자: ㄱㅗㄹㅈㅏ
골조: ㄱㅗㄹㅈㅗ
골초: ㄱㅗㄹㅊㅗ
골치: ㄱㅗㄹㅊㅣ
골퍼: ㄱㅗㄹㅍㅓ
골프: ㄱㅗㄹㅍㅡ
곰보: ㄱㅗㅁㅂㅗ
곱자: ㄱㅗㅂㅈㅏ
공고: ㄱㅗㅇㄱㅗ
공구: ㄱㅗㅇㄱㅜ
공기: ㄱㅗㅇㄱㅣ
공로: ㄱㅗㅇㄹㅗ
공리: ㄱㅗㅇㄹㅣ
공모: ㄱㅗㅇㅁㅗ
공무: ㄱㅗㅇㅁㅜ
공보: ㄱㅗㅇㅂㅗ
공부: ㄱㅗㅇㅂㅜ
공비: ㄱㅗㅇㅂㅣ
공사: ㄱㅗㅇㅅㅏ
공소: ㄱㅗㅇㅅㅗ
공수: ㄱㅗㅇㅅㅜ
공시: ㄱㅗㅇㅅㅣ
공여: ㄱㅗㅇㅇㅕ
공유: ㄱㅗㅇㅇㅠ
공자: ㄱㅗㅇㅈㅏ
공저: ㄱㅗㅇㅈㅓ
공조: ㄱㅗㅇㅈㅗ
공주: ㄱㅗㅇㅈㅜ
공지: ㄱㅗㅇㅈㅣ
공터: ㄱㅗㅇㅌㅓ
공포: ㄱㅗㅇㅍㅗ
공표: ㄱㅗㅇㅍㅛ
공허: ㄱㅗㅇㅎㅓ
과거: ㄱㅗㅏㄱㅓ
과다: ㄱㅗㅏㄷㅏ
과도: ㄱㅗㅏㄷㅗ
과로: ㄱㅗㅏㄹㅗ
과료: ㄱㅗㅏㄹㅛ
과부: ㄱㅗㅏㅂㅜ
과소: ㄱㅗㅏㅅㅗ
과수: ㄱㅗㅏㅅㅜ
과시: ㄱㅗㅏㅅㅣ
과오: ㄱㅗㅏㅇㅗ
과자: ㄱㅗㅏㅈㅏ
괘도: ㄱㅗㅐㄷㅗ
괴기: ㄱㅗㅣㄱㅣ
괴리: ㄱㅗㅣㄹㅣ
괴수: ㄱㅗㅣㅅㅜ
교각: ㄱㅛㄱㅏㄱ
교감: ㄱㅛㄱㅏㅁ
교과: ㄱㅛㄱㅗㅏ
교내: ㄱㅛㄴㅏㅣ
교단: ㄱㅛㄷㅏㄴ
교대: ㄱㅛㄷㅏㅣ
교란: ㄱㅛㄹㅏㄴ
교량: ㄱㅛㄹㅑㅇ
교련: ㄱㅛㄹㅕㄴ
교만: ㄱㅛㅁㅏㄴ
교목: ㄱㅛㅁㅗㄱ
교문: ㄱㅛㅁㅜㄴ
교민: ㄱㅛㅁㅣㄴ
교배: ㄱㅛㅂㅏㅣ
교범: ㄱㅛㅂㅓㅁ
교복: ㄱㅛㅂㅗㄱ
교본: ㄱㅛㅂㅗㄴ
교분: ㄱㅛㅂㅜㄴ
교살: ㄱㅛㅅㅏㄹ
교섭: ㄱㅛㅅㅓㅂ
교성: ㄱㅛㅅㅓㅇ
교세: ㄱㅛㅅㅓㅣ
교습: ㄱㅛㅅㅡㅂ
교신: ㄱㅛㅅㅣㄴ
교실: ㄱㅛㅅㅣㄹ
교안: ㄱㅛㅇㅏㄴ
교양: ㄱㅛㅇㅑㅇ
교언: ㄱㅛㅇㅓㄴ
교역: ㄱㅛㅇㅕㄱ
교열: ㄱㅛㅇㅕㄹ
교외: ㄱㅛㅇㅗㅣ
교육: ㄱㅛㅇㅠㄱ
교인: ㄱㅛㅇㅣㄴ
교장: ㄱㅛㅈㅏㅇ
교재: ㄱㅛㅈㅏㅣ
교전: ㄱㅛㅈㅓㄴ
교접: ㄱㅛㅈㅓㅂ
교정: ㄱㅛㅈㅓㅇ
교제: ㄱㅛㅈㅓㅣ
교직: ㄱㅛㅈㅣㄱ
교착: ㄱㅛㅊㅏㄱ
교체: ㄱㅛㅊㅓㅣ
교칙: ㄱㅛㅊㅣㄱ
교탁: ㄱㅛㅌㅏㄱ
교태: ㄱㅛㅌㅏㅣ
교통: ㄱㅛㅌㅗㅇ
교편: ㄱㅛㅍㅕㄴ
교합: ㄱㅛㅎㅏㅂ
교화: ㄱㅛㅎㅗㅏ
교회: ㄱㅛㅎㅗㅣ
교훈: ㄱㅛㅎㅜㄴ
구간: ㄱㅜㄱㅏㄴ
구강: ㄱㅜㄱㅏㅇ
구걸: ㄱㅜㄱㅓㄹ
구경: ㄱㅜㄱㅕㅇ
구국: ㄱㅜㄱㅜㄱ
구근: ㄱㅜㄱㅡㄴ
구금: ㄱㅜㄱㅡㅁ
구급: ㄱㅜㄱㅡㅂ
구김: ㄱㅜㄱㅣㅁ
구내: ㄱㅜㄴㅏㅣ
구단: ㄱㅜㄷㅏㄴ
구독: ㄱㅜㄷㅗㄱ
