소유자: ㅅㅗㅇㅠㅈㅏ
소유주: ㅅㅗㅇㅠㅈㅜ
소유지: ㅅㅗㅇㅠㅈㅣ
소지자: ㅅㅗㅈㅣㅈㅏ
소쿠리: ㅅㅗㅋㅜㄹㅣ
수고비: ㅅㅜㄱㅗㅂㅣ
수구파: ㅅㅜㄱㅜㅍㅏ
수나사: ㅅㅜㄴㅏㅅㅏ
수도사: ㅅㅜㄷㅗㅅㅏ
수도자: ㅅㅜㄷㅗㅈㅏ
수료자: ㅅㅜㄹㅛㅈㅏ
수리비: ㅅㅜㄹㅣㅂㅣ
수비수: ㅅㅜㅂㅣㅅㅜ
수수료: ㅅㅜㅅㅜㄹㅛ
수요자: ㅅㅜㅇㅛㅈㅏ
수호자: ㅅㅜㅎㅗㅈㅏ
스모그: ㅅㅡㅁㅗㄱㅡ
스스로: ㅅㅡㅅㅡㄹㅗ
스카프: ㅅㅡㅋㅏㅍㅡ
스커트: ㅅㅡㅋㅓㅌㅡ
스코어: ㅅㅡㅋㅗㅇㅓ
스쿠터: ㅅㅡㅋㅜㅌㅓ
스토리: ㅅㅡㅌㅗㄹㅣ
스토브: ㅅㅡㅌㅗㅂㅡ
스티커: ㅅㅡㅌㅣㅋㅓ
스파이: ㅅㅡㅍㅏㅇㅣ
스포츠: ㅅㅡㅍㅗㅊㅡ
스피드: ㅅㅡㅍㅣㄷㅡ
스피커: ㅅㅡㅍㅣㅋㅓ
시가지: ㅅㅣㄱㅏㅈㅣ
시누이: ㅅㅣㄴㅜㅇㅣ
시리아: ㅅㅣㄹㅣㅇㅏ
시리즈: ㅅㅣㄹㅣㅈㅡ
시부모: ㅅㅣㅂㅜㅁㅗ
시비조: ㅅㅣㅂㅣㅈㅗ
시치미: ㅅㅣㅊㅣㅁㅣ
아가리: ㅇㅏㄱㅏㄹㅣ
아가미: ㅇㅏㄱㅏㅁㅣ
아녀자: ㅇㅏㄴㅕㅈㅏ
아로마: ㅇㅏㄹㅗㅁㅏ
아리아: ㅇㅏㄹㅣㅇㅏ
아버지: ㅇㅏㅂㅓㅈㅣ
아시아: ㅇㅏㅅㅣㅇㅏ
아이디: ㅇㅏㅇㅣㄷㅣ
아이큐: ㅇㅏㅇㅣㅋㅠ
아지트: ㅇㅏㅈㅣㅌㅡ
아토피: ㅇㅏㅌㅗㅍㅣ
아파트: ㅇㅏㅍㅏㅌㅡ
야자수: ㅇㅑㅈㅏㅅㅜ
어거지: ㅇㅓㄱㅓㅈㅣ
어머니: ㅇㅓㅁㅓㄴㅣ
어버이: ㅇㅓㅂㅓㅇㅣ
여교사: ㅇㅕㄱㅛㅅㅏ
여기자: ㅇㅕㄱㅣㅈㅏ
여비서: ㅇㅕㅂㅣㅅㅓ
여우비: ㅇㅕㅇㅜㅂㅣ
오거리: ㅇㅗㄱㅓㄹㅣ
오누이: ㅇㅗㄴㅜㅇㅣ
오디오: ㅇㅗㄷㅣㅇㅗ
오라비: ㅇㅗㄹㅏㅂㅣ
오로라: ㅇㅗㄹㅗㄹㅏ
오미자: ㅇㅗㅁㅣㅈㅏ
오이지: ㅇㅗㅇㅣㅈㅣ
오자미: ㅇㅗㅈㅏㅁㅣ
요구서: ㅇㅛㄱㅜㅅㅓ
요구자: ㅇㅛㄱㅜㅈㅏ
요리사: ㅇㅛㄹㅣㅅㅏ
요사이: ㅇㅛㅅㅏㅇㅣ
우거지: ㅇㅜㄱㅓㅈㅣ
유리수: ㅇㅠㄹㅣㅅㅜ
