검인: ㄱㅓㅁㅇㅣㄴ
검정: ㄱㅓㅁㅈㅓㅇ
검증: ㄱㅓㅁㅈㅡㅇ
검진: ㄱㅓㅁㅈㅣㄴ
검찰: ㄱㅓㅁㅊㅏㄹ
검출: ㄱㅓㅁㅊㅜㄹ
검침: ㄱㅓㅁㅊㅣㅁ
겁탈: ㄱㅓㅂㅌㅏㄹ
겉감: ㄱㅓㅌㄱㅏㅁ
겉말: ㄱㅓㅌㅁㅏㄹ
겉멋: ㄱㅓㅌㅁㅓㅅ
겉면: ㄱㅓㅌㅁㅕㄴ
겉봉: ㄱㅓㅌㅂㅗㅇ
겉옷: ㄱㅓㅌㅇㅗㅅ
겉장: ㄱㅓㅌㅈㅏㅇ
게양: ㄱㅓㅣㅇㅑㅇ
게임: ㄱㅓㅣㅇㅣㅁ
게장: ㄱㅓㅣㅈㅏㅇ
게재: ㄱㅓㅣㅈㅏㅣ
격감: ㄱㅕㄱㄱㅏㅁ
격년: ㄱㅕㄱㄴㅕㄴ
격돌: ㄱㅕㄱㄷㅗㄹ
격동: ㄱㅕㄱㄷㅗㅇ
격랑: ㄱㅕㄱㄹㅏㅇ
격론: ㄱㅕㄱㄹㅗㄴ
격멸: ㄱㅕㄱㅁㅕㄹ
격변: ㄱㅕㄱㅂㅕㄴ
격분: ㄱㅕㄱㅂㅜㄴ
격상: ㄱㅕㄱㅅㅏㅇ
격식: ㄱㅕㄱㅅㅣㄱ
격양: ㄱㅕㄱㅇㅑㅇ
격언: ㄱㅕㄱㅇㅓㄴ
격음: ㄱㅕㄱㅇㅡㅁ
격의: ㄱㅕㄱㅇㅡㅣ
격일: ㄱㅕㄱㅇㅣㄹ
격전: ㄱㅕㄱㅈㅓㄴ
격정: ㄱㅕㄱㅈㅓㅇ
격증: ㄱㅕㄱㅈㅡㅇ
격찬: ㄱㅕㄱㅊㅏㄴ
격침: ㄱㅕㄱㅊㅣㅁ
격퇴: ㄱㅕㄱㅌㅗㅣ
격화: ㄱㅕㄱㅎㅗㅏ
